position,name,type,isnumeric,format,vallab,varlab
133,G04A,byte,1,%8.0g,G04A,"In the last 7 days, Did [Name] spent time on manufacturing of goods for family u"
134,G05A,byte,1,%8.0g,G05A,"In the last 7 days, Did [Name] spent time on construction of own building?"
135,G06A,byte,1,%8.0g,G06A,"In the last 7 days, Did [Name] spent time on doing household chores?"
136,G07A,byte,1,%8.0g,G07A,"In the last 7 days, Did [Name] tooktime to look under children or adults"
137,H01,byte,1,%10.0g,H01,During the last four weeks did he/she do any of the following  work mainly for o
138,H02,byte,1,%10.0g,,How many days per week did [NAME] usually worked in these activities?
139,H03,byte,1,%10.0g,,How many hours per day has [NAME] usually worked in these activities?
140,H05,byte,1,%10.0g,H05,"In general, did the household sell or barter any part of the goods obtained from"
141,H06,byte,1,%10.0g,H06,About how much does the household regularly sell?
142,H09,byte,1,%10.0g,H09,Do you regularly or sometimes engage paid employee in the farming activity?
143,H00,byte,1,%64.0g,H00,How would you describe your main situation on labour market at present?
144,H04,byte,1,%9.0g,,
145,H10,byte,1,%10.0g,H10,"Excluding family members, how many paid employees do you usually  engage in thes"
146,I01_A,byte,1,%10.0g,I01_A,Main material used in building this house for roof
147,I01_B,byte,1,%10.0g,I01_B,Main material used in building this house for exterior walls
148,I01_C,byte,1,%10.0g,I01_C,Main material used in building this house for floor
149,I02,byte,1,%10.0g,,How many rooms in your household are used for sleeping?
150,I03,byte,1,%10.0g,I03,What type of toilet does your household have?
151,I04,byte,1,%10.0g,I04,What is the main source of energy in your household for lighting?
152,I05,byte,1,%10.0g,I05,What is the main source of energy in your household for cooking?
153,I06A,byte,1,%10.0g,I06A,What is the main source of water in your household for drinking?
154,I06B,byte,1,%10.0g,I06B,What is the main source of water in your household for other uses?
155,I07A,byte,1,%10.0g,I07A,Does this household own Refrigerator/Freezer?
156,I07B,byte,1,%10.0g,I07B,Does this household own radio?
157,I07C,byte,1,%10.0g,I07C,Does this household own TV set?
158,I07D,byte,1,%10.0g,I07D,Does this household own parabolic antena?
159,I07E,byte,1,%10.0g,I07E,Does this household own Video/DVD player?
160,I07F,byte,1,%10.0g,I07F,Does this household own Computer and accessories?
161,I07G,byte,1,%10.0g,I07G,Does this household own Music system?
162,I07H,byte,1,%10.0g,I07H,Does this household own Cooker?
163,I07I,byte,1,%10.0g,I07I,Does this household own Sewing machine?
164,I07J,byte,1,%10.0g,I07J,Does this household own Laundry machine?
165,I07K,byte,1,%10.0g,I07K,Does this household own Electric fan?
166,I07L,byte,1,%10.0g,I07L,Does this household own Camera?
167,I07M,byte,1,%10.0g,I07M,Does this household own Mobile phone?
168,I07N,byte,1,%10.0g,I07N,Does this household own Car ?
169,I07O,byte,1,%10.0g,I07O,Does this household own Bicycle  ?
170,I07P,byte,1,%10.0g,I07P,Does this household own Motorcycle  ?
171,I07Q,byte,1,%10.0g,I07Q,Does this household own internet connection ?
172,status1,byte,1,%19.0g,status,Labour force status with 16+
173,wap16,byte,1,%9.0g,,Working age population
174,employed16,byte,1,%9.0g,,Employment to population ratio
175,UR1,byte,1,%9.0g,,Unemployment rate
176,LFPR,byte,1,%9.0g,,Labour force particiaption rate
177,sub,byte,1,%15.0g,sub, Dimunished Subsistance foodstaff producers
178,TRU,byte,1,%30.0g,TRU,Time related underemployment
179,PLF,byte,1,%24.0g,PLF,Potential labour force
180,youth,byte,1,%9.0g,,Youth 16 to 24 years old
181,young,byte,1,%9.0g,,Young 16 to 30 years old
182,LUU,byte,1,%26.0g,LUU,Labour underutilisation
183,LUUR,byte,1,%9.0g,,Labour underutilization rate
184,disable,byte,1,%8.0g,,person with disability
185,discourage,byte,1,%9.0g,,Discouraged jobseekers
186,willing,byte,1,%9.0g,,Willing non seeker and not available
187,migrant,byte,1,%21.0g,mig,Recent migration
188,neetyouth,byte,1,%9.0g,,NEET 16-24
189,neetyoung,byte,1,%9.0g,,NEET 16-30
190,youngs,byte,1,%50.0g,youngs,Young status
191,main_sect,byte,1,%11.0g,main_sect,Economic sector
192,indb1,byte,1,%9.0g,,Years of schooling
193,attained,byte,1,%15.0g,attained,Level of education completed
194,cash,float,1,%9.0g,,Monthly income in cash for employees
195,intcash,byte,1,%20.0g,intcash,Income interval
196,age5,byte,1,%9.0g,age5,Five years age group
197,age10,byte,1,%9.0g,age10,Broader age group
198,usualhrs,byte,1,%9.0g,usualhrs,Usually working hours
199,timegood,byte,1,%9.0g,,Time spent in production of good
200,timeservice,int,1,%9.0g,,Time spent in production of services
201,hhsize,byte,1,%11.0g,hhsize,Household size
202,usual_h,float,1,%9.0g,,Number of usual hours
203,act_hrs,int,1,%12.0fc,,Number of actual hours worked
204,acthrs,byte,1,%9.0g,usualhrs,Actual hours intervals
