Unnamed: 0,iso_code,region_group,income_group,country,survey,year,level,grade,category,sex,location,wealth,region,ethnicity,religion,language,disability,hh_edu_head,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
44400,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Gisenyi,,,,,,0.233999997377396,0.118100002408028,0.0644999966025352,0.381000012159348,0.104800000786781,0.063400000333786,,0.208599999547005,0.31020000576973,0.24889999628067,0.48309999704361,0.820200026035309,188.0,144.0,124.0,496.0,496.0,363.0,187.0,187.0,187.0,671.0,207.0,178.0,,,,,0.230800002813339,533.0,0.475600004196167,82.0,,,0.0137000000104308,146.0,0.0,146.0,0.0,99.0,0.0,227.0,0.404100000858307,725.0,0.74669998884201,354.0,,,,,,,,,,,,,,,,,,,,,,,,
44401,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Gitarama,,,,,,0.300999999046326,0.0625,0.0292000006884336,0.388200014829636,0.0513999983668327,0.0373999997973442,,0.19480000436306,0.311699986457825,0.18019999563694,0.663800001144409,0.89029997587204,289.0,192.0,137.0,662.0,662.0,455.0,231.0,231.0,231.0,777.0,351.0,237.0,,,,,0.135499998927116,679.0,0.28439998626709,109.0,,,0.0,160.0,0.0,160.0,0.0,157.0,0.0,271.0,0.331800013780594,633.0,0.709800004959106,460.0,,,,,,,,,,,,,,,,,,,,,,,,
44402,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Kibungo,,,,,,0.189099997282028,0.0329000018537045,0.0210999995470047,0.327399998903275,0.0381999984383583,0.0232999995350838,,0.229200005531311,0.335500001907349,0.35809999704361,0.572399973869324,0.855400025844574,275.0,213.0,190.0,733.0,733.0,516.0,301.0,301.0,301.0,726.0,304.0,249.0,,,,,0.231900006532669,608.0,0.381399989128113,97.0,,,0.0122999995946884,163.0,0.0060999998822808,163.0,0.0,137.0,0.0,313.0,,,0.659699976444244,528.0,,,,,,,,,,,,,,,,,,,,,,,,
44403,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Kibuye,,,,,,0.152700006961823,0.011400000192225,0.0183000005781651,0.236300006508827,0.0188999995589256,0.0129000004380941,,0.34689998626709,0.474500000476837,0.230900004506111,0.607500016689301,0.930899977684021,203.0,175.0,109.0,529.0,529.0,388.0,196.0,196.0,196.0,693.0,214.0,188.0,,,,,0.215700000524521,547.0,0.119999997317791,50.0,,,0.0063999998383224,156.0,0.0,156.0,0.0,112.0,0.0,250.0,0.368499994277954,711.0,0.619700014591217,352.0,,,,,,,,,,,,,,,,,,,,,,,,
44404,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Kigali City,,,,,,0.484699994325638,0.227200001478195,0.143199995160103,0.616199970245361,0.229699999094009,0.158500000834465,,0.0788000002503395,0.125499993562698,0.225299999117851,0.528299987316132,0.679099977016449,654.0,537.0,426.0,1785.0,1785.0,1306.0,749.0,749.0,749.0,821.0,566.0,642.0,,,,,0.101400002837181,759.0,0.633000016212463,466.0,0.800999999046326,196.0,0.0494000017642975,445.0,0.0111999996006489,445.0,0.0152000002563,329.0,0.0185000002384186,758.0,0.27360001206398,318.0,0.878899991512299,1473.0,,,,,,,,,,,,,,,,,,,,,,,,
44405,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Kigali Rural,,,,,,0.332500010728836,0.0901999995112419,0.0322999991476536,0.394899994134903,0.0855000019073486,0.0493000000715256,,0.186299994587898,0.301400005817413,0.220300003886223,0.575500011444092,0.82039999961853,397.0,255.0,217.0,947.0,947.0,649.0,365.0,365.0,365.0,817.0,424.0,334.0,,,,,0.139200001955032,733.0,0.420100003480911,169.0,0.806500017642975,31.0,0.008899999782443,224.0,0.0,224.0,0.0054999999701976,183.0,0.0,372.0,,,0.780200004577637,622.0,,,,,,,,,,,,,,,,,,,,,,,,
44406,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Ruhengeri,,,,,,0.235499992966652,0.0405000001192093,0.0430999994277954,0.331800013780594,0.0573999993503094,0.0780000016093254,,0.267899990081787,0.339300006628036,0.237100005149841,0.62720000743866,0.926599979400635,293.0,173.0,116.0,645.0,645.0,449.0,224.0,224.0,224.0,970.0,338.0,218.0,,,,,0.228200003504753,802.0,0.234699994325638,98.0,,,0.0,190.0,0.0,190.0,0.0,175.0,0.0,244.0,0.38060000538826,988.0,0.720600008964539,464.0,,,,,,,,,,,,,,,,,,,,,,,,
44407,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Region,,,,Umutara,,,,,,0.170699998736382,0.0318999998271465,0.0274000000208616,0.27020001411438,0.0278999991714954,0.0285000000149012,,0.224800005555153,0.356599986553192,0.205799996852875,0.544600009918213,0.871999979019165,164.0,94.0,73.0,359.0,359.0,281.0,129.0,129.0,129.0,486.0,202.0,125.0,,,,,0.2483000010252,435.0,0.230800002813339,39.0,,,0.0,122.0,0.0,122.0,0.0,80.0,0.0,146.0,0.437999993562698,548.0,0.666899979114532,208.0,,,,,,,,,,,,,,,,,,,,,,,,
44408,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Sex,Female,,,,,,,,,0.271600008010864,0.0689999982714653,0.033500000834465,0.367000013589859,0.067100003361702,0.0401000007987022,,0.216399997472763,0.319700002670288,0.251300007104874,0.602800011634827,0.871599972248077,1820.0,1413.0,1094.0,4718.0,4718.0,3477.0,1856.0,1856.0,1856.0,4490.0,1846.0,1651.0,,,,,0.182699993252754,3821.0,0.369199991226196,815.0,0.768999993801117,199.0,0.0052999998442828,1278.0,0.0015000000130385,1278.0,0.0023000000510364,1010.0,0.0007999999797903,2036.0,0.34689998626709,2548.0,0.717199981212616,5016.0,,,,,,,,,,,,,,,,,,,,,,,,
44409,RWA,Sub-Saharan Africa,Low income,Rwanda,DHS,2000,,1,Sex,Male,,,,,,,,,0.285199999809265,0.0820999965071678,0.0533000007271767,0.379799991846085,0.0758000016212463,0.064800001680851,,0.208100005984306,0.3192999958992,0.24269999563694,0.573400020599365,0.833299994468689,1781.0,1150.0,870.0,4146.0,4146.0,2720.0,1510.0,1510.0,1510.0,4075.0,1913.0,1531.0,,,,,0.185900002717972,3462.0,0.38289999961853,739.0,0.794799983501434,194.0,0.0172000005841255,978.0,0.0031999999191612,978.0,0.0031000000890344,862.0,0.0024999999441206,1658.0,0.394300013780594,2392.0,0.754000008106232,1350.0,,,,,,,,,,,,,,,,,,,,,,,,
